Lunch	
Alex's Pizza Day! BBQ Chicken Pizza, Butternut Squash and Mushroom Pizza (V), Parmesan and Arugula Pizza (V), with Roasted Brussel Sprouts (VE), and Rainbow Chard (VE)	7
Avocado Caprese Skillet Chicken; Marinated Grilled White Chicken Breast with Fresh Sliced Tomato, Fresh Mozzarella and Basil with Balsamic Drizzle and Fresh Avocado with Roasted Vegetable Mac N Cheese (V), Grilled Squash Duet (VE), Steamed Mixed Greens (VE), Rice with Melted Leeks and Dried Fruit (VE) with Fresh Fried Pita Chips (VE) with Fruit Salsas (VE).	7
Baked Spring Vegetable Ravioli (V) with Beef and Chicken Meatballs, Eggplant Meatballs (V), Garlicky Kale (VE), and Steamed Broccoli (VE)	8
Belgian Waffle Bar (V) with Pineapple Braised Niman Ham, Roasted Cauliflower (VE), Mushroom, Spinach and Goat Cheese Frittata (V), and Vidalia Onion and Sweet Potato Hash (VE)	5
Buffalo Chicken Nachos with Refried Pinto Beans (VE), Cayenne Roasted Corn (VE), and Grilled Bell Peppers (VE), with Cilantro Lime Rice (VE) and Tri Color Tortilla Chips (VE)	4
Burrito Bar (V) with Warm Flour Tortillas, Cheddar Cheese, Shredded Lettuce, House Made Salsa, Sour Cream, Jalapeno and Fresh Cilantro.	8
Buttermilk Blueberry Pancakes (V) and Fresh Florentine Scramble (V).	6
Cashew Chicken with Spinach and Mushroom Lo Mein (VE), Ginger Snap Peas (VE), Braised Nappa Cabbage (VE) and Brown Rice & Edamame (VE) with Fresh Herbs	6
Cashew Chicken with Spinach and Mushroom Lo Mein (VE), Ginger Snap Peas (VE), Braised Nappa Cabbage (VE) and Brown Rice & Edamame (VE) with Fresh Herbs.	4
Chef's Omelet Special, Cheddar Cheese Omelet (V), Potato Tater Tots (VE), and Niman Ranch Pork Sausage Links	6
Chicken Caesar Salad; White Grilled Chicken Breast on Crispy Romaine with Shredded Asiago Cheese and House Made Croutons.	6
Classic Italian Shrimp or Vegetable Scampi (VE) with Bell Peppers, Onion and Tomato in a Sauce of Butter, Garlic, Fresh Lemon and White Wine Served with Steamed Broccoli (VE), Garlic Spinach (VE), Rice Pilaf (VE) and Cheesy Filled Breadsticks (V) with Dipping Sauces.	6
Cobb Salad Toss with Hard Boiled Eggs (V), Niman Ranch Ham, Diced White Chicken Breast, Crisp Romaine (VE), Niman Ranch Bacon, Grape Tomato (VE), Red Onion (VE) and Avocado (VE) with House Made Ranch Dressing (V).	4
Craft Your Own Ice Cold Lettuce Wrap (VE) with a Selection of Lettuces, Cucumbers, Carrots, Tomatoes, Edamame, Garbanzo Beans, Tofu and Assorted Seeds and Nuts (VE) with a Custom Sauce Bar.	6
Crispy Chicken with Pepper and Salsa Verde, Southwest Quiche with Black Beans, Cheddar Cheese and Jalapeno (V), Wilted Green Kale (VE),Steamed Broccoli (VE) and Spanish Rice (VE) with Mac and Cheese Bar (V)	6
Crispy Chicken with Pepper and Salsa Verde, Southwest Quiche with Black Beans, Cheddar Cheese and Jalapeno (V), Wilted Green Kale (VE),Steamed Broccoli (VE) and Spanish Rice (VE) with Mac and Cheese Bar (V).	6
Customize your Own Steakburger or Black Bean Burger (VE) with Grilled Onion Trifecta (VE), Green Bean Fries (VE), and Roasted Vegetable Medley (VE) with Toppings on the Side.	7
Custom Make your Own Cheese Omelet with Home Fries (VE)	7
Frankfurter Bar Featuring Niman Ranch All-Beef Franks and Vegan Hot Dogs (VE) with Grilled Vegetable Pasta Salad (V), Corn & Green Bean Salad (VE), Mediterranean Potato Salad (VE) and Tri Color Bell Pepper Slaw (VE) with Hot Dog Topping Bar	6
Fresh Local New England Fish and Chips with House Cut Fries (VE)	7
Fresh Seafood Coconut Curry with Calamari, Swordfish, Shrimp, Lobster and Mussels Served with Ancient Grains and Black Beans with Indian Spices (VE), Steamed Green Beans (VE), Steamed Bok Choy(VE), Roasted Cauliflower (VE), and Warm Naan Bread (V) with Assorted Rice and Lentils (VE)	6
Fresh Seafood Coconut Curry with Calamari, Swordfish, Shrimp, Lobster and Mussels Served with Ancient Grains and Black Beans with Indian Spices (VE), Steamed Green Beans (VE), Steamed Bok Choy(VE), Roasted Cauliflower (VE), and Warm Naan Bread (V) with Assorted Rice and Lentils (VE).	4
Fusion Raw Lettuce Wraps (VE)	5
Grilled Chicken Sandwich with Watermelon Jalapeno Salsa on a Fresh Claflin Roll or Grilled Zucchini Stacks with Mozzarella and Balsamic Drizzle (V).	7
Grilled Swordfish Po Boy with Red Pepper Mayo or Sweet Potato Quinoa Patties (VE) and Fresh Rosemary Chips (VE)	4
Hand Carved Steak or Vegetable Fajita's (VE) with Red Beans & Rice (VE)	7
House Made Cinnamon Chipotle Turkey Burgers and Lemon and Thyme Avocado Spring Onion Grilled Cheese with House Made Pickles	6
House Made Falafel (VE) on Warm Pita with Hand Cut French Fries (VE).	5
House Made Sauce with Shredded Mozzarella Cheese on Fresh Claflin Dough! Today we feature Jerk Chicken Pizza, Eggplant Parmesan Pizza (V) and Three Cheese and Broccoli Pizza (V) with Roasted Cauliflower (VE), Wilted Green Kale (VE) and Chef's Pasta Bar (V)	6
House Made Turkish Turkey Burger on Grilled Pita or Roasted Eggplant Sabich (VE) with Olives and Feta Cheese Salad (V).	6
Local Whitefish Broiled with a Roasted Red Pepper Horseradish Sauce and an Artichoke and Goat Cheese Quiche with Wilted Kale, Steamed Carrots and Salt-Baked Sweet Potatoes with a Rice & Bean Bar.	3
Local, Fresh and Crispy Fried Calamari with Cucumber & Wakame Salad.	7
Marinated Tofu on Cold Peanut Noodles (VE).	4
Mouthwatering Steak Burger or Black Bean Burger (VE) Bar with House Cut French Fries (VE)
Come try our New Menu Item! Caramelized Bananas with Yogurt, Granola and Fresh Mint (V)	6
Niman Ranch Pork or Vegetable (V) Fried Rice with Bamboo Shoots, Garden Peas, Shredded Carrots, Daikon Radish and Water Chestnuts Fried with an Orange Ponzu	6
Oktoberfest Brunch of Bratwurst Pork Sausage with Grilled Onions, German Cabbage and Potato Casserole (V), Lemon Dill Carrots (VE), Roasted Brussels Sprouts (VE) and German Potato Pancakes (V).	5
Our Famous Loaded or Unloaded (V) Mac N Cheese Station with House Made Cheddar Cheese Sauce, Green Peas, Red Onion, Niman Ranch Bacon and Buttery Crumbs.	7
Our Famous Loaded or Unloaded Mac N Cheese (V) Featuring Macaroni Pasta, House Made Cheese Sauce, Green Peas, Niman Ranch Bacon and Toasted Panko Crumbs	7
Pan Bagnat; Traditional French Tuna Nicoise Sandwich in Crispy Baguette.	6 
A Throwback from Twisted Nacho Night! Thai Chicken Nachos; Wonton Skins Topped with Nappa Cabbage, Shredded Carrots and Pulled Chicken with Thai Peanut Drizzle	7
Philly Cheesesteak Burgers! Our House Steakburger Topped With Grilled Peppers and Onion and Melted Cheddar Cheese on a Fresh Claflin Roll, or a Black Bean Burger (VE) with House Made Mango Chipotle BBQ Sauce, Both Served with House Cut French Fries (VE).	6
Pizza Day! House Made Sauce with Shredded Mozzarella Cheese on Fresh Claflin Dough! Today we feature Jerk Chicken Pizza, Eggplant Parmesan Pizza (V) and Three Cheese and Broccoli Pizza (V) with Roasted Cauliflower (VE), Wilted Green Kale (VE) and Chef's Pasta Bar	7
Roasted Corn and Black Bean Quesadilla (V) in a Jalapeno Tortilla with Cheddar Cheese and House Made Salsa on a Salad of Charred Tomatoes and Fresh Herbs (VE).	6
Salmon Brunch Croquettes, Roasted Cauliflower (VE), Mustard Dill Potatoes (V), Citrus Asparagus (VE), and Belgian Waffle Bar with Fruit and Cream (V).	6
Sesame Soba Noodle Salad; Cold Soba Noodles Tossed with Sesame Oil Topped with Carrots, Cucumber, Daikon and Chives	7
Smoked Salmon and Fresh Dill on House Made Pea Pancakes	5
Southern Corn Cake Stacks (V) with Aged Cheddar Cheese and Fresh Arugula with a Sweet Potato and Poblano Salad with Honey and Rosemary	5
Spring Onion and Cheddar (V) or Steak Fajita Grilled Cheese with Reskin Potato Salad with Citrus Balsamic (VE)	6
Spring Onion and Cheddar (V) or Steak Fajita Grilled Cheese with Reskin Potato Salad with Citrus Balsamic (VE).	7
Spring Vegetable Pasta with Carrots, Asparagus, Green Peas and Red Onion with Fresh Lemon in a Cream Cheese Sauce (V)	5
Spring Vegetable Pasta with Carrots, Asparagus, Green Peas and Red Onion with Fresh Lemon in a Cream Cheese Sauce (V).	4
Taco Salad Bar; Tortilla Chips Piled High with Fresh Salsa, Sour Cream and Cheddar Cheese (V)	8
Tandoori Chicken or Roasted Curry Cauliflower (V) Wrap with Steamed Rice (VE) and Mint Raita (V).	7
Thai Chicken with Basil Stir Fry, Tofu and Peanut Stir Fry (VE), Ginger Roasted Snap Peas (VE), Steamed Bok Choy (VE), and White Rice (VE)	5
Thai Chickpea Taco with Spicy Thai Peanut Sauce and Sriracha Slaw (VE).	5
Try Our New Fusion Item: Smoked Salmon and Fresh Dill on House Made Pea Pancakes.	5
Warm Spinach and Pear Salad with Cranberries, Goat Cheese and Honey Drizzle (V)	4
	
A New Crepe! Come Try Our Cannoli Crepe (V), House Made Crepe Filled with Sweet Ricotta Cheese and Chocolate Chips Topped with Chocolate Sauce, Powdered Sugar and Fresh Mint.	4
A New Crepe! Come Try Our Chocolate Crepe with Hazelnuts (V)	7
A Throwback from Twisted Nacho Night! Thai Chicken Nachos; Wonton Skins Topped with Nappa Cabbage, Shredded Carrots and Pulled Chicken with Thai Peanut Drizzle	6
A Throwback from Twisted Nacho Night! Thai Chicken Nachos; Wonton Skins Topped with Nappa Cabbage, Shredded Carrots and Pulled Chicken with Thai Peanut Drizzle	6
Beef Braciole; Italian Stuffed Rolled Steak with Pesto Pasta Primavera with Three Peas (V), Braised Escarole (VE), Roast Tomatoes (VE), and Roasted Baby Potatoes (VE)	5
Blackened Chicken Soft Taco or Vegetable Fajita (VE) with Rice and Red Beans (VE)	6
Boursin Chicken Wraps with Grilled Chicken, Creamy Boursin Cheese and Fresh Vegetables in a Flour Tortilla	7
Brazilian Frango Con Quibo; Roasted Chicken with Tomato and Okra, Macarrao de Forno; Brazilian Baked Pasta (V), Grilled Pineapple (VE), Roasted Brazilian Leeks (VE) and Angu Creamy Polenta (V)	5
Brazilian Muqueca; a Coconut Stew Made with Swordfish, Confetti Couscous (VE), Baby Corn on the Cob (VE), Roasted Tomatoes (VE) and Fresh Yucca Fries (VE) served with Traditional Brazilian Cornmeal Farofa and Potato Salad	5
Cajun Salmon Burger or Veggie Burger (V) on Fresh Claflin Roll Served with Redskin Potato Salad with Citrus Balsamic (VE)	6
Cajun Salmon Burger or Veggie Burger (V) on Fresh Claflin Roll Served with Redskin Potato Salad with Citrus Balsamic (VE)	4
Cheddar Cheese Quesadillas (V) and Fried Tortilla Chips (VE)	6
Chicken Wing Bar, Penne Pasta with cannellini Beans and Escarole (V), Grilled Summer Squash (VE), Mixed Vegetables (VE), and Quinoa Pilaf (VE)	7
Crab Cakes with Yogurt and Dill, with Creole Vegetarian Jambalaya (VE), Cajun Corn Macque Choux (VE), Cole Slaw (V), and Vegetarian Baked Beans (VE)	7
Cuban Style Turkey Picadillo Tacos and Lentil Quinoa Tacos (VE) with Cilantro-Lime Roasted Corn (VE), Garlicky Collard Greens (VE) and Red Beans & Rice (VE) with all the Traditional Taco Toppings!	5
Fresh Quesadilla (V) Stuffed with Mango, Black Beans, Caramelized Onion and Jack Cheese with House Made Tomato Salsa and Fresh Fried Tortilla Chips (VE)	7
Fresh Zucchini Noodles with Avocado Cream Sauce (VE)	5
Greek Nachos; Stacked Fresh Pita Chips Layered with House Made Hummus, Roasted Red Peppers, Artichokes, Black Olives and Feta Cheese (V)	6
Grilled Cheese Quesadillas (V) with House Made Salsa and all the Fixings!	7
Grilled Shrimp Roll with Sorrel and Grilled Zucchini Stacks with Mozzarella and Balsamic Drizzle (V)	7
Grilled White Chicken Breast on a Clalfin Roll or Kung Pao Tofu Sliders, Both Served on a Salad of Charred Tomatoes and Fresh Herbs (VE)	5
Hand Carved Niman Ranch Jamaican Pork Loin with Cuban Black Bean Stew (VE), Fried Plantains (VE), Steamed Carrots (VE) and White Rice with Chef's Pasta Bar	6
Hand Carved Turkey Dinner with Cranberry Orange Relish, Butternut Squash and Kale Stuffed Shells (V), Steamed Green Beans (VE), Corn Pudding (VE), and Olive Oil Mashed Potatoes (VE)	5
Hand Carved Turkey Dinner with Cranberry Orange Relish, Butternut Squash and Kale Stuffed Shells (V), Steamed Green Beans (VE), Corn Pudding (VE), and Olive Oil Mashed Potatoes (VE)	6
Hand-breaded Cornmeal Popcorn Chicken with a Sweet Potato and Poblano Salad with Honey and Rosemary and Dipping Sauce Bar	5
Irish Dinner! Guinness Carved Brisket with Braised Cabbage (VE), Vegan Sheppard Pie (VE), Steamed Carrots (VE) and Boiled Red Potatoes with Chef's Pasta Bar	6
Lamb and Niman Ranch Beef Meatloaf with Balsamic Glaze, Asparagus Tomato and Fontina Frittata (V), Braised Green Kale (VE), Orange Glazed Beets (VE), and Baked Potato Bar	7
Lamb and Niman Ranch Beef Meatloaf with Balsamic Glaze, Asparagus Tomato and Fontina Frittata (V), Braised Green Kale (VE), Orange Glazed Beets (VE), and Baked Potato Bar	7
Lemon Pepper Salmon Burger with Sweet Potato Quinoa Patties (VE) and Fresh Rosemary Chips (VE)	5
Lime Marinated Broiled Salmon, Roasted Green Beans (VE), Roasted Leek and Cheddar Strata (V), Mixed Vegetables (VE), and Barley Pilaf (VE) with Chefs Choice Pasta Bar	4
Local Country Baked Haddock with Cornmeal Griddle Cakes (V), Steamed Peas (VE), Braised Kale (VE), and Baked Potato Bar (VE)	6
Maple Roasted White Turkey Breast with a Sweet Potato and Arugula Flatbread (V), Wilted Spinach (VE), Sautéed Summer Squash (VE) and Yukon Gold Mashed Potatoes (V) with Cranberry Sauce (VE), Apple Sauce (VE) and Maple Turkey Gravy (V) Soup- Niman Ranch Steak & Rice or Loaded Baked Potato Soup (V)	7
MYO Omelet Bar, and Spicy Homefries (VE)	7
Niman Ranch Pesto Grilled Pork Chops and Baingan Bharta (Punjabi Eggplant Curry, VE), Rainbow Chard (VE), Steamed Carrots (VE), Kale and Farro Pilaf (VE) and Chef's Pasta Bar Soup- Coconut Swordfish Stew or Vegan Bean Chili with Rice (VE)	6
Niman Ranch Roast Beef au Poivre (Peppercorn Crusted Steak with a Brandy Cream Sauce) with Stuffed Zucchini Boats (VE), Steamed Green Peas and Pearl Onions (VE), Spicy Mustard Greens (VE) and our Signature Baked Potato Bar	6
Niman Ranch Roast Beef with Caramelized Shallot Jus with Spring Onion Cheddar Quiche (V), Steamed Green Beans (VE), Roast Vegetable Medley (VE), and Olive Oil Mashed Potatoes (VE)	7
Our Famous “Fried” Chicken with Vegan Bean Chili (VE), Garlicky Okra & Tomato (VE), Collard Greens (VE) and Buttermilk Mashed Potatoes (V) with Chili and Mashed Potato Bar	6
Our Famous Loaded or Unloaded Mac N Cheese (V) Featuring Macaroni Pasta, House Made Cheese Sauce, Green Peas, Niman Ranch Bacon and Toasted Panko Crumbs	6
Our Famous Make your Own Grilled Cheese (V) with Fresh Kettle Potato Chips (VE)	6
Panzanella Toss with Crispy Croutons, Fresh Mozzarella Cheese, Fresh Basil, Heirloom Tomato and Balsamic Drizzle (V)	6
Pizza Day! House Made Sauce with Shredded Mozzarella Cheese on Fresh Claflin Dough! Today we feature Jerk Chicken Pizza, Eggplant Parmesan Pizza (V) and Three Cheese and Broccoli Pizza (V) with Roasted Cauliflower (VE), Wilted Green Kale (VE) and Chef’s Pasta Bar (V).	7
Pork or Vegetable (VE) Stuffed Potstickers Served on Top a Cucumber & Wakame Salad	8
Pulled Niman Pork with Mango and Chipotle Peppers, Spicy Southwest BBQ Bean Pot (VE), Roasted Corn on the Cob (VE), Steamed Green Chard (VE), and Corn Bread with Cheddar and Jalapeno Peppers (V) with Mac and Cheese Bar (V)	7
Pulled Niman Pork with Mango and Chipotle Peppers, Spicy Southwest BBQ Bean Pot (VE), Roasted Corn on the Cob (VE), Steamed Green Chard (VE), and Corn Bread with Cheddar and Jalapeno Peppers (V) with Mac and Cheese Bar (V)	5
Quinoa & Kraut Raw Wrap (VE)	5
Shrimp Fried Rice and Vegetable Fried Rice (VE)	7
Simple but Delicious Insalata Caprese! Fresh Mozzarella, Sliced Tomato and Fresh Basil with Balsamic Drizzle (V)	7
Spinach and Beef Lasagna with Fresh Mozzarella, Grilled Eggplant Parmesan (V), Citrus Roasted Asparagus (VE), Herb Roasted Zucchini and Carrots (VE) and Steamed Lima Beans (VE)	7
Steak Burgers, Black Bean Burgers (VE), and House Cut Fries (VE)	8
Thai Peanut Chicken Tenderloin Satay or Tofu Satay (VE) with Spicy Peanut Drizzle on Steamed Rice (VE)	5
Tiramisu Crepe (V); Chocolate Crepe Stuffed with Coffee-Cream Cheese and Vanilla Cookies with Fresh Mint, Chocolate Sauce and Powdered Sugar	6
Tiramisu Crepe (V); Chocolate Crepe Stuffed with Coffee-Cream Cheese and Vanilla Cookies with Fresh Mint, Chocolate Sauce and Powdered Sugar	6
Turkey or Veggie (VE) Frankfurter Bar with House Cut French Fries (VE) and all the Fixings!	6
Vegetable Temakizushi Wrap; Sticky Rice with Cucumber, Carrot and Daikon Wrapped in Nori (VE)	5
Wintergreen Salad; a Custom Made Bates Only Salad with Bibb Lettuce, Fresh Mint, Grape Tomato, Goat Cheese and Golden Raisins with Raspberry Vinaigrette (V)	7